num       tox                 	h0         	stress vth value	 stress ids value 	aged vth value 	   aged ids value 
1103 	0.2079332129  	0.2079332129 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
847 	0.2081153485  	0.2081153485 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1984 	0.2083237061  	0.2083237061 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1269 	0.206115177  	0.206115177 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1909 	0.208371545  	0.208371545 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1535 	0.208400424  	0.208400424 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
937 	0.2085490417  	0.2085490417 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1872 	0.2086661513  	0.2086661513 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
156 	0.2087856888  	0.2087856888 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
227 	0.2089758243  	0.2089758243 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1001 	0.2092781566  	0.2092781566 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1556 	0.2094600958  	0.2094600958 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1719 	0.2101651605  	0.2101651605 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1248 	0.2104659998  	0.2104659998 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
236 	0.2104575074  	0.2104575074 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
889 	0.210478112  	0.210478112 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
388 	0.2105491899  	0.2105491899 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1405 	0.2106346626  	0.2106346626 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
731 	0.2110507294  	0.2110507294 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
654 	0.2112233199  	0.2112233199 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
571 	0.2112943099  	0.2112943099 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
947 	0.2114174632  	0.2114174632 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1290 	0.2117256731  	0.2117256731 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1125 	0.2117445818  	0.2117445818 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
749 	0.2123268881  	0.2123268881 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
908 	0.2125956255  	0.2125956255 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
724 	0.2126991835  	0.2126991835 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1045 	0.2127949981  	0.2127949981 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
19 	0.2129933869  	0.2129933869 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1581 	0.2130460804  	0.2130460804 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1817 	0.213274569  	0.213274569 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1203 	0.213645778  	0.213645778 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
446 	0.2138046824  	0.2138046824 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1955 	0.2140208754  	0.2140208754 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1688 	0.2142805651  	0.2142805651 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1651 	0.2146492348  	0.2146492348 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
434 	0.214282579  	0.214282579 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1723 	0.214623515  	0.214623515 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
992 	0.2147179041  	0.2147179041 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1822 	0.2146732035  	0.2146732035 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
919 	0.2149076674  	0.2149076674 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
986 	0.2152319864  	0.2152319864 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1645 	0.2152884283  	0.2152884283 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
525 	0.2155265151  	0.2155265151 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
362 	0.2153289657  	0.2153289657 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1780 	0.2153529739  	0.2153529739 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
683 	0.2149504221  	0.2149504221 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
443 	0.2154615661  	0.2154615661 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
364 	0.2155221899  	0.2155221899 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1354 	0.2159861797  	0.2159861797 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
609 	0.2167860113  	0.2167860113 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
5 	0.2169486356  	0.2169486356 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1695 	0.2160555013  	0.2160555013 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
776 	0.2172222501  	0.2172222501 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1429 	0.2171813581  	0.2171813581 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1038 	0.2173868787  	0.2173868787 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1815 	0.2174771091  	0.2174771091 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
365 	0.2184337093  	0.2184337093 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1786 	0.2187651935  	0.2187651935 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
23 	0.2177491943  	0.2177491943 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1991 	0.2186559515  	0.2186559515 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
264 	0.2186918355  	0.2186918355 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
998 	0.2182515933  	0.2182515933 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1428 	0.219781812  	0.219781812 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
898 	0.2199973084  	0.2199973084 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
206 	0.2198105164  	0.2198105164 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
117 	0.218854684  	0.218854684 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
534 	0.2194896398  	0.2194896398 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
207 	0.2195760556  	0.2195760556 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
699 	0.2208118759  	0.2208118759 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
